m,k,n,latency_us,mfu
1,512,2048,19.561,0.0002
2,512,2048,18.502,0.000423
4,512,2048,18.324,0.000854
8,512,2048,19.202,0.002
16,512,2048,18.751,0.003
32,512,2048,19.741,0.006
64,512,2048,18.471,0.014
128,512,2048,18.274,0.027
224,512,2048,18.717,0.047
256,512,2048,19.02,0.053
512,512,2048,18.522,0.108
1024,512,2048,19.087,0.21
4096,512,2048,29.29,0.547
8192,512,2048,53.888,0.595
16384,512,2048,101.188,0.634
32768,512,2048,203.552,0.63
65536,512,2048,400.047,0.641
131072,512,2048,793.792,0.646
1,2048,1024,19.007,0.000412
2,2048,1024,18.777,0.000833
4,2048,1024,18.751,0.001669
8,2048,1024,18.781,0.003
16,2048,1024,18.867,0.007
32,2048,1024,18.652,0.013
64,2048,1024,18.783,0.027
128,2048,1024,19.014,0.053
224,2048,1024,18.514,0.095
256,2048,1024,19.051,0.105
512,2048,1024,19.166,0.209
1024,2048,1024,19.178,0.418
4096,2048,1024,49.907,0.642
8192,2048,1024,82.647,0.776
16384,2048,1024,162.456,0.789
32768,2048,1024,321.264,0.798
65536,2048,1024,637.698,0.804
131072,2048,1024,1261.661,0.813
8,2048,5120,19.029,0.016
16,2048,5120,19.034,0.033
32,2048,5120,18.879,0.066
64,2048,5120,19.015,0.132
128,2048,5120,19.268,0.26
224,2048,5120,19.228,0.456
256,2048,5120,19.341,0.518
512,2048,5120,35.373,0.566
1024,2048,5120,51.048,0.785
4096,2048,5120,194.541,0.824
8192,2048,5120,391.796,0.818
16384,2048,5120,772.431,0.83
32768,2048,5120,1544.901,0.83
65536,2048,5120,3318.112,0.773
131072,2048,5120,6936.019,0.739
1,2048,9216,25.139,0.002801
2,2048,9216,25.142,0.005602
4,2048,9216,25.144,0.011204
8,2048,9216,25.055,0.022
16,2048,9216,23.875,0.047
32,2048,9216,23.069,0.098
64,2048,9216,19.075,0.236
128,2048,9216,19.195,0.47
224,2048,9216,35.421,0.445
256,2048,9216,35.36,0.51
512,2048,9216,50.014,0.721
1024,2048,9216,98.934,0.729
4096,2048,9216,345.818,0.834
8192,2048,9216,689.718,0.836
16384,2048,9216,1383.824,0.834
32768,2048,9216,2935.336,0.786
65536,2048,9216,6141.382,0.752
131072,2048,9216,12643.733,0.73
1,2048,12288,31.344,0.002996
2,2048,12288,31.343,0.005992
4,2048,12288,31.33,0.011989
8,2048,12288,31.268,0.024
16,2048,12288,29.271,0.051
32,2048,12288,27.212,0.11
64,2048,12288,19.233,0.312
128,2048,12288,19.282,0.623
224,2048,12288,35.429,0.594
256,2048,12288,35.501,0.677
512,2048,12288,66.214,0.726
1024,2048,12288,115.722,0.831
4096,2048,12288,463.378,0.83
8192,2048,12288,919.439,0.837
16384,2048,12288,1866.767,0.824
32768,2048,12288,3989.034,0.771
65536,2048,12288,8316.042,0.74
131072,2048,12288,16878.167,0.729
1,4096,2048,32.742,0.000956
2,4096,2048,32.796,0.001909
4,4096,2048,32.448,0.003859
8,4096,2048,32.559,0.008
16,4096,2048,32.572,0.015
32,4096,2048,32.935,0.03
64,4096,2048,32.735,0.061
128,4096,2048,32.981,0.121
224,4096,2048,33.24,0.211
256,4096,2048,33.284,0.241
512,4096,2048,33.275,0.482
1024,4096,2048,64.089,0.5
4096,4096,2048,154.776,0.828
8192,4096,2048,308.589,0.831
16384,4096,2048,602.371,0.851
32768,4096,2048,1199.848,0.855
65536,4096,2048,2513.551,0.816
131072,4096,2048,5314.503,0.772
