num_experts,num_gpus,num_local_experts,topk,hidden_size,intermediate_size,batch_size_per_gpu,tokens_per_expert,up_proj_us,up_mfu,down_proj_us,down_mfu
256,1,256,8,2048,512,1,0,46.901,0.002002,46.901,0.002002
256,1,256,8,2048,512,8,0,195.55,0.003842,195.55,0.003842
256,1,256,8,2048,512,16,0,312.743,0.004804,312.743,0.004804
256,1,256,8,2048,512,32,1,473.749,0.006343,473.749,0.006343
256,1,256,8,2048,512,64,2,649.335,0.009255,649.335,0.009255
256,1,256,8,2048,512,128,4,729.445,0.016478,729.445,0.016478
256,1,256,8,2048,512,256,8,748.721,0.032107,748.721,0.032107
256,1,256,8,2048,512,512,16,760.08,0.063254,760.08,0.063254
256,1,256,8,2048,512,1024,32,785.33,0.12244,785.33,0.12244
256,1,256,8,2048,512,2048,64,896.323,0.214557,896.323,0.214557
256,1,256,8,2048,512,4096,128,1145.634,0.33573,1145.634,0.33573
