dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,19.335,0.003
bf16,bf16,1,4096,19.069,0.013
bf16,bf16,1,5120,20.243,0.015124
bf16,bf16,1,8192,20.959,0.023
bf16,bf16,1,16384,24.401,0.04
bf16,bf16,1,32768,30.401,0.064
bf16,bf16,1,65536,124.012,0.032
bf16,bf16,1,131072,233.913,0.034
bf16,bf16,16,1024,20.591,0.048
bf16,bf16,16,4096,121.617,0.032
bf16,bf16,16,8192,231.334,0.034
bf16,bf16,16,16384,451.706,0.035
bf16,bf16,16,32768,888.953,0.035
bf16,bf16,16,65536,1758.457,0.036
bf16,bf16,16,131072,3501.455,0.036
bf16,bf16,32,1024,29.476,0.066
bf16,bf16,32,4096,231.997,0.034
bf16,bf16,32,8192,448.813,0.035
bf16,bf16,32,16384,887.573,0.035
bf16,bf16,32,32768,1760.2,0.036
bf16,bf16,32,65536,3503.423,0.036
bf16,bf16,32,131072,6984.717,0.036
bf16,bf16,64,1024,125.833,0.031
bf16,bf16,64,4096,478.981,0.033
bf16,bf16,64,8192,955.122,0.033
bf16,bf16,64,16384,1899.999,0.033
bf16,bf16,64,32768,3716.843,0.034
bf16,bf16,64,65536,7469.415,0.034
bf16,bf16,64,131072,15068.217,0.033
bf16,bf16,128,1024,228.724,0.034
bf16,bf16,128,4096,892.592,0.035
bf16,bf16,128,5120,1113.249,0.035
bf16,bf16,128,8192,1774.858,0.035
bf16,bf16,128,16384,3538.647,0.035
bf16,bf16,128,32768,7074.7,0.035
bf16,bf16,128,65536,14111.216,0.036
bf16,bf16,256,1024,449.069,0.035
bf16,bf16,256,4096,1758.159,0.036
bf16,bf16,256,8192,3497.687,0.036
bf16,bf16,256,16384,6983.557,0.036
bf16,bf16,512,1024,890.934,0.035
bf16,bf16,512,4096,3514.187,0.036
bf16,bf16,512,8192,7010.651,0.036
bf16,bf16,8,64512,873.182,0.036
